id;id_list_products;title;condition;procuct_type;price;suggested_price;sold;review_rating;review_amount;seller_name;url;created_at;updated_at;part_number_detectado;score_suspeita;classificacao;probabilidade_pirata;preco_sugerido;desvio_preco;motivos
1;1;"Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml
MAIS VENDIDO
1º em Cartuchos de Tinta HP";Novo ;Original;63.9;69.9;100000;4.8;0;OBERO INFORMATICA;https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763?has_official_store=false&highlight=true&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=1&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB3713375243&sid=search;2025-10-06 05:02:18;2025-10-06 05:02:18;hp667;30;BAIXA SUSPEITA;10-40%;69.9;-8.6%;Vendedor não autorizado
2;2;"Cartucho De Tinta Hp 667 Deskjet Ink Advantage Cor Preto E Colorido Do 4 Ml 2 Unidades
RECOMENDADO
Recomendamos este produto para você porque tem um bom preço e opiniões positivas.";Novo ;Original;143.9;144.8;10000;4.8;0;OBERO INFORMATICA;https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-deskjet-ink-advantage-cor-preto-e-colorido-do-4-ml-2-unidades/p/MLB36785112?has_official_store=false&highlight=true&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=2&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB4678636310&sid=search;2025-10-06 05:03:33;2025-10-06 05:03:33;hp667;30;BAIXA SUSPEITA;10-40%;144.8;-0.6%;Vendedor não autorizado
3;3;"Kit Cartucho Tinta Original Hp 667 Preto/colorido 2376 2774
MAIS VENDIDO
13º em Cartuchos de Tinta";Novo ;Original;143.9;144.8;10000;4.7;0;OBERO INFORMATICA;https://www.mercadolivre.com.br/kit-cartucho-tinta-original-hp-667-pretocolorido-2376-2774/up/MLBU750370459?has_official_store=false&highlight=true&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB2685036387&sid=search;2025-10-06 05:03:46;2025-10-06 05:03:46;hp667;45;MÉDIA SUSPEITA;40-70%;144.8;-0.6%;Vendedor não autorizado, Vendedor não autorizado vendendo produto 'original'
4;4;Kit Tinta Cartucho Hp 667 Preto E 667 Colorido;Novo ;Original;168.9;144.8;5000;4.6;0;Loja oficialPark Ecom;https://www.mercadolivre.com.br/kit-tinta-cartucho-hp-667-preto-e-667-colorido/p/MLB40504426?has_official_store=false&highlight=false&headerTopBrand=true#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB4119387607&sid=search;2025-10-06 05:03:58;2025-10-06 05:03:58;hp667;30;BAIXA SUSPEITA;10-40%;144.8;16.6%;Vendedor não autorizado
5;5;"Cartucho Hp 667 667xl Deskjet 2776 Preto
RECOMENDADO
Recomendamos este produto para você porque tem um bom preço e opiniões positivas.";Novo ;Original;104.0;172.9;10000;4.4;0;Loja oficialPark Ecom;https://www.mercadolivre.com.br/cartucho-hp-667-667xl-deskjet-2776-preto/p/MLB22843608?has_official_store=false&highlight=true&headerTopBrand=true#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB4202641931&sid=search;2025-10-06 05:04:11;2025-10-06 05:04:11;hp667;80;ALTA SUSPEITA;70-95%;172.9;-39.8%;Vendedor não autorizado, Preço -39.8% abaixo do sugerido (suspeita de pirataria)
6;6;Cartucho Hp 667 Bk Original Hp Deskejet 1275 / 237/ 2774;Novo ;Original;64.9;69.9;1000;4.8;0;vanvan;https://www.mercadolivre.com.br/cartucho-hp-667-bk-original--hp-deskejet-1275--237-2774/up/MLBU1451864279?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB3670301614&sid=search;2025-10-06 05:04:26;2025-10-06 05:04:26;hp667;45;MÉDIA SUSPEITA;40-70%;69.9;-7.2%;Vendedor não autorizado, Vendedor não autorizado vendendo produto 'original'
7;7;"Cartucho Tinta Tricolor 667 Hp
RECOMENDADO
Recomendamos este produto para você porque tem um bom preço e opiniões positivas.";Novo ;Original;74.19;74.9;5000;4.8;0;SCOTCH;https://www.mercadolivre.com.br/cartucho-tinta-tricolor-667-hp/p/MLB22546333?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=7&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB3947220255&sid=search;2025-10-06 05:04:40;2025-10-06 05:04:40;;50;MÉDIA SUSPEITA;40-70%;74.9;-0.9%;Vendedor não autorizado, Número de parte (PN) inválido ou ausente
8;8;2x Cartucho Hp 667 3ym79al Preto Original Lacrado Garantia;Novo ;Original;188.31;139.8;5000;4.7;0;sunext;https://www.mercadolivre.com.br/2x-cartucho-hp-667-3ym79al-preto-original-lacrado-garantia/p/MLB2039723882?has_official_store=false&highlight=false&headerTopBrand=true#polycard_client=search-nordic&search_layout=grid&position=8&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB1754285285&sid=search;2025-10-06 05:04:51;2025-10-06 05:04:51;3ym79al;45;MÉDIA SUSPEITA;40-70%;139.8;34.7%;Vendedor não autorizado, Vendedor não autorizado vendendo produto 'original'
9;9;Mega Oferta !!! Kit Com 2 Cart. Hp Original 667xl Preto !!!;Novo ;Original;239.0;345.8;1000;4.6;0;TC20240813115050;https://www.mercadolivre.com.br/mega-oferta-kit-com-2-cart-hp-original-667xl-preto-/p/MLB2039528208?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=9&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB5065496774&sid=search;2025-10-06 05:05:07;2025-10-06 05:05:07;;115;PIRATA;95-100%;345.8;-30.9%;Vendedor não autorizado, Vendedor não autorizado vendendo produto 'original', Número de parte (PN) inválido ou ausente, Preço -30.9% abaixo do sugerido (suspeita de pirataria)
10;10;Kit Cartucho Hp 667 Preto E Colorido Original A4 Brinde;Novo ;Original;175.0;144.8;100;4.6;0;informticaponto;https://www.mercadolivre.com.br/kit-cartucho-hp-667-preto-e-colorido-original-a4-brinde/p/MLB2040530384?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB3725986485&sid=search;2025-10-06 05:05:22;2025-10-06 05:05:22;hp667;45;MÉDIA SUSPEITA;40-70%;144.8;20.9%;Vendedor não autorizado, Vendedor não autorizado vendendo produto 'original'
11;11;Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml;Novo ;Original;75.78;69.9;1000;4.8;0;informticaponto;https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB38358712?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=11&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB5109108250&sid=search;2025-10-06 05:13:12;2025-10-06 05:13:12;hp667;30;BAIXA SUSPEITA;10-40%;69.9;8.4%;Vendedor não autorizado
12;12;Kit Cartucho Hp 667 Preto + Hp 667 Colorido Originais;Novo ;Original;143.9;144.8;1000;4.8;0;OBERO INFORMATICA;https://www.mercadolivre.com.br/kit-cartucho-hp-667-preto--hp-667-colorido-originais/up/MLBU750315201?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=12&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB2685026226&sid=search;2025-10-06 05:13:25;2025-10-06 05:13:25;hp667;30;BAIXA SUSPEITA;10-40%;144.8;-0.6%;Vendedor não autorizado
13;13;Cartucho Hp 667 Preto Original Para 2774 2775 2776 2777 2376;Novo ;Original;63.9;69.9;500;4.7;0;OBERO INFORMATICA;https://www.mercadolivre.com.br/cartucho-hp-667-preto-original-para-2774-2775-2776-2777-2376/up/MLBU750313191?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=13&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB2685030791&sid=search;2025-10-06 05:13:41;2025-10-06 05:13:41;hp667;45;MÉDIA SUSPEITA;40-70%;69.9;-8.6%;Vendedor não autorizado, Vendedor não autorizado vendendo produto 'original'
